19/11/2021, 01:01:11 -> doc: doc1 | class_rate: 0.8235294117647058 | attribute_rate: 0.0 | relationship_rate: 0.0 | general_rate: 0.2745098039215686 | 
19/11/2021, 01:01:26 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
19/11/2021, 01:01:43 -> doc: doc3 | class_rate: 1.0 | attribute_rate: 0.25 | relationship_rate: 0.0 | general_rate: 0.4166666666666667 | 
19/11/2021, 01:02:19 -> doc: doc4 | class_rate: 0.8888888888888888 | attribute_rate: 1.0 | relationship_rate: 0.0 | general_rate: 0.6296296296296297 | 
20/11/2021, 20:09:28 -> doc: doc4 | class_rate: 0.8888888888888888 | attribute_rate: 1.0 | relationship_rate: 0.0 | general_rate: 0.6296296296296297 | 
21/11/2021, 12:03:03 -> doc: doc1 | class_rate: 0.8235294117647058 | attribute_rate: 0.8 | relationship_rate: 0.0 | general_rate: 0.5411764705882353 | 
21/11/2021, 12:03:16 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
21/11/2021, 21:33:29 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 11:25:07 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 11:25:13 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:03:17 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:04:06 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:04:28 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:08:10 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:09:35 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:11:17 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/12/2021, 12:12:04 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
02/12/2021, 09:16:19 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
02/12/2021, 09:18:07 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
02/12/2021, 09:18:42 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
02/12/2021, 09:24:41 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
02/12/2021, 09:40:59 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
06/02/2022, 19:06:17 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
15/02/2022, 17:04:53 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/03/2022, 20:10:22 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/03/2022, 20:10:29 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/03/2022, 20:29:46 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/03/2022, 20:30:01 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
01/03/2022, 20:33:24 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
03/03/2022, 18:48:57 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
03/03/2022, 18:51:32 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
03/03/2022, 18:51:58 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
03/03/2022, 18:52:34 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
03/03/2022, 18:53:08 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
14/06/2022, 10:14:24 -> doc: doc2 | class_rate: 0.8 | attribute_rate: 0.5 | relationship_rate: 0.0 | general_rate: 0.43333333333333335 | 
